Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Pytanie ENG,Odpowiedź ENG A,Odpowiedź ENG B,Odpowiedź ENG C,Pytanie DE,Odpowiedź DE A,Odpowiedź DE B,Odpowiedź DE C,Poprawna odp,Media,Zakres struktury,Liczba punktów,Kategorie,Nazwa bloku,Nazwa media tłumaczenie migowe (PJM) treść pyt,Nazwa media tłumaczenie migowe (PJM) treść odp A,Nazwa media tłumaczenie migowe (PJM) treść odp B,Nazwa media tłumaczenie migowe (PJM) treść odp C,Nazwa media tłumaczenie migowe (SJM) treść pyt,Nazwa media tłumaczenie migowe (SJM) treść odp A,Nazwa media tłumaczenie migowe (SJM) treść odp B,Nazwa media tłumaczenie migowe (SJM) treść odp C
481,Czy w tej sytuacji widoczny dla Twojego pasa ruchu sygnał świetlny zezwala Ci na zawracanie?,,,,Does the light displayed for your lane allow you to make a U-turn in this situation?,,,,Erlaubt  in der dargestellten Situation das für Ihren Fahrstreifen sichtbare Leuchtsignal zu wenden?,,,,T,117D16_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W5,,,,,,,,
486,"Czy w tej sytuacji wolno Ci skręcić w prawo, jeśli nie spowodujesz tym utrudnienia ruchu?",,,,Are you allowed to turn right in this situation if you do not cause impediments to traffic?,,,,"Darf man in der dargestellten Situation rechts abbiegen, sofern man den Straßenverkehr nicht behindert?",,,,N,0084D18_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W5,pjm486.wmv,,,,,,,
544,"Czy w tej sytuacji wolno Ci zmienić zajmowany pas ruchu, gdy zamierzasz jechać na wprost?",,,,Are you allowed in this situation to change the lane you are taking when you intend to go straight?,,,,"Darf man in der dargestellten Situation die von dir besetzte Fahrbahn wechseln, wenn man die Absicht hat, geradeaus zu fahren?",,,,T,IMG_9324_org.jpg,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,pjm544.wmv,,,,,,,
589,Czy na tej drodze możesz spodziewać się rowerzystów nadjeżdżających z przeciwka?,,,,Can you expect cyclists coming from the opposite direction on this road?,,,,"Kannst du auf dieser Straße damit rechnen, dass aus entgegengesetzter Richtung Fahrradfahrer kommen?",,,,T,4152D15Xorg.jpg,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W3,pjm589.wmv,,,,,,,
591,Czy w tej sytuacji wolno Ci wjechać na pas ruchu po lewej stronie?,,,,Are you allowed in this situation to drive onto the lane on the left?,,,,Darf man in der dargestellten Situation auf die Fahrbahn auf der linken Seite einfahren?,,,,N,4170D15_a_org.jpg,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,pjm591.wmv,,,,,,,
595,"Czy ten znak poziomy wyznacza miejsce bezwzględnego zatrzymania się, nawet w sytuacji, gdy z żadnej ze stron nie nadjeżdża pojazd?",,,,"Does this horizontal sign define a place of obligatory stop, even if there is no vehicle approaching from either side?",,,,"Bestimmt dieses horizontale Zeichen die Stelle, wo obligatorisch anzuhalten ist, sogar in einer solchen Situation, in der aus keiner Richtung ein Fahrzeug kommt?",,,,T,D16_01_org.wmv,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,pjm595.wmv,,,,,,,
599,"Czy w tej sytuacji widoczna linia przerywana wyznacza Ci miejsce zatrzymania w związku ze znakiem ""stop""?",,,,"Does this dashed line in this situation indicate a place to stop because of the ""stop"" sign?",,,,"Bestimmt in der dargestellten Situation die sichtbare gestrichelte Linie die Stelle, wo das Fahrzueg im Zusammenhang mit dem Zeichen ""Stopp"" angehalten werden soll?",,,,N,D16_05_org.wmv,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,pjm599.wmv,,,,,,,
600,"Czy ta linia ciągła wyznacza Ci miejsce zatrzymania pojazdu w związku ze znakiem ""stop""?",,,,"Does this solid line in this situation indicate a place to stop because of the ""stop"" sign?",,,,"Bestimmt die durchgezogene Linie die Stelle, wo das Fahrzeug im Zusammenhang mit dem Zeichen ""Stopp"" angehalten werden soll?",,,,T,D16_06_org.wmv,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,pjm600.wmv,,,,,,,
609,"Czy w tej sytuacji, przy zawracaniu, wolno Ci  przejechać przez zakreskowane pole?",,,,Are you allowed in this situation to drive through the shaded area when making a U-turn?,,,,Darf man in der dargestellten Situation beim Wenden das schraffierte Feld überqueren?,,,,N,MM_D14_14_org.wmv,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,pjm609.wmv,,,,,,,
610,Zamierzasz zawrócić na tym skrzyżowaniu. Czy zajmujesz właściwy pas ruchu?,,,,You intend to make a U-turn at this intersection. Are you taking the proper lane?,,,,"Sie haben vor, an dieser Kreuzung zu wenden. Befinden Sie sich auf der richtigen Fahrspur?",,,,T,MM_D14_15_org.wmv,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,pjm610.wmv,,,,,,,
612,Skręcasz w lewo na skrzyżowaniu. Czy po wjechaniu na jezdnię poprzeczną znaki poziome pozwalają Ci zająć pas ruchu przy prawej krawędzi jezdni?,,,,"You are turning left at the intersection. After entering the crosswise road, do the horizontal signs allow you to take the lane by the right edge of the roadway?",,,,"Sie biegen in der Kreuzung links ab. Erlauben die Fahrbahnmarkierungen, nachdem Sie auf die Querfahrbahn eingefahren sind, die rechte Fahrspur an der Fahrbahnkante in Anspruch zu nehmen?",,,,T,MM_D14_17_org.wmv,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,,,,,,,,
617,Czy w tym miejscu wolno Ci skręcić w lewo i wjechać na stację paliw?,,,,Are you allowed in this place to turn left and drive into the petrol station?,,,,Darf man an dieser Stelle links abbiegen und auf die Tankstelle einfahren?,,,,N,MM_D14_24_org.wmv,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,pjm617.wmv,,,,,,,
621,Czy widoczna linia złożona z trójkątów wskazuje Ci miejsce zatrzymania pojazdu w celu ustąpienia pierwszeństwa?,,,,Does the line composed of triangles indicate the place to stop your vehicle in order to give the right of way?,,,,"Zeigt die  dargestellte, aus Dreiecken bestehende Linie die Stelle an, wo man anhalten muss, um die Vorfahrt zu gewähren?",,,,T,MM_D14_29_org.wmv,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,pjm621.wmv,,,,,,,
623,"Czy w tym miejscu możesz skręcić w lewo, na parking?",,,,Are you allowed to turn left to the parking space in the place marked in such a way?,,,,"Darf man an der so markierten Stelle links, auf den Parkplatz abbiegen?",,,,N,MM_D14_34_org.wmv,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,,,,,,,,
624,"Zamierzasz odpocząć. Czy w tym miejscu możesz skręcić w lewo, na parking?",,,,You intend to take a rest. Are you allowed in this place to turn left to the parking space?,,,,"Sie haben vor, zu rasten. Darf man an dieser Stelle links, zum Parkplatz abbiegen?",,,,N,MM_D14_38_org.wmv,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,pjm624.wmv,,,,,,,
626,Czy w tej sytuacji wolno Ci skręcić w lewo z zajmowanego przez Ciebie pasa ruchu?,,,,Are you allowed to turn left from the lane you are occupying?,,,,Darf man an dieser Stelle von dem in Anspruch genommenen Fahrstreifen links abbiegen?,,,,N,MM_D14_42_org.wmv,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,pjm626.wmv,,,,,,,
627,Czy w tym miejscu wolno Ci wjechać na pas ruchu przeznaczony dla pojazdów jadących w przeciwnym kierunku?,,,,Are you allowed to drive onto the lane designated to vehicles driving in the opposite direction?,,,,"Darf man an dieser Stelle auf den Fahrstreifen kommen, der für Fahrzeuge bestimmt ist, die in der entgegengesetzten Richtung fahren?",,,,N,0445D14MM_aorgbm.jpg,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,pjm627.wmv,,,,,,,
630,"Czy w tym miejscu, bezpośrednio przed przejściem dla pieszych, wolno Ci zmienić pas ruchu?",,,,"Are you allowed in this place, directly in front of the pedestrian crossing to, change the lane?",,,,"Darf man an der Stelle, die zu sehen ist, direkt vor dem Fußgängerübergang, die Fahrspur wechseln?",,,,N,D10MM_3org.wmv,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,pjm630.wmv,,,,,,,
632,Czy widoczny znak poziomy w kształcie trójkąta potwierdza ostrzeżenie o skrzyżowaniu z drogą z pierwszeństwem?,,,,Does this horizontal triangular sign confirm the warning of an intersection with the main road?,,,,Bestätigt die gezeigte Fahrbahnmarkierung in Form eines Dreiecks die Warnung vor einer Kreuzung mit Vorfahrtsstraße?,,,,T,D10MM_10org.wmv,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,pjm632.wmv,,,,,,,
637,Czy w tej sytuacji wolno Ci wjechać na sąsiedni prawy pas ruchu?,,,,Are you allowed in this situation to drive onto the adjacent right lane?,,,,Darf man in der dargestellten Situation auf die benachbarte rechte Fahrspur einfahren?,,,,T,D10MM_22org.wmv,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,pjm637.wmv,,,,,,,
639,Czy widoczna poprzeczna linia przerywana wyznacza miejsce warunkowego zatrzymania pojazdu?,,,,Does this crosswise dashed line indicate the place for conditional stopping of the vehicle?,,,,"Bestimmt die sichtbare gestrichelte Querlinie die Stelle, wo das Fahrzeug bedingt angehalten  werden soll?",,,,T,D10MM_7org.wmv,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,pjm639.wmv,,,,,,,
745,"Czy w przedstawionej sytuacji wolno Ci zawrócić, wykorzystując widoczną po lewej stronie zatokę?",,,,Are you allowed in this situation to make a U-turn using the lay-by on the left?,,,,"Dürfen Sie in der dargestellten Situation wenden, indem Sie die Straßenbucht, die links zu sehen ist, in Anspruch nehmen?",,,,T,013org.jpg,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W11,pjm745.wmv,,,,,,,
748,Czy w tej sytuacji masz prawo wyprzedzać samochód ciężarowy?,,,,Are you allowed to overtake the articulated vehicle in this situation?,,,,Darf man in dieser Situation den LkW überholen?,,,,T,048D15_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W12,,,,,,,,
758,"Planujesz jechać na wprost, a kierujący pojazdem nadjeżdżającym z przeciwka ma zamiar skręcić w lewo. Czy masz przed nim pierwszeństwo?",,,,You intend to drive straight on while the vehicle driving from the opposite direction intends to turn left. Do you have the right of way over the other vehicle?,,,,"Sie planen, geradeaus zu fahren und das Fahrzeug im Gegenverkehr hat die Absicht, links abzubiegen. Haben Sie vor ihm die Vorfahrt?",,,,N,KW_D22_407_org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W7,pjm758.wmv,,,,,,,
770,"Planujesz skręcić w lewo, a kierujący pojazdem z przeciwka ma zamiar jechać na wprost. Czy masz przed nim pierwszeństwo?",,,,You plan to turn left and the driver of the oncoming vehicle intends to follow the road ahead. Have you got priority over them?,,,,"Sie planen, links abzubiegen und das entgegenkommende Fahrzeug hat es vor, geradeaus zu fahren. Haben Sie die Vorfahrt vor ihm?",,,,N,KW_D22_417_org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W7,pjm770.wmv,,,,,,,
771,Zamierzasz skręcić w lewo. Czy masz obowiązek ustąpić pierwszeństwa wszystkim pojazdom znajdującym się na skrzyżowaniu?,,,,You intend to turn left. Are you obliged to yield the right-of-way to all vehicles at the junction?,,,,"Sie haben es vor, links abzubiegen. Sind Sie dazu verpflichtet, allen Fahrzeugen, die sich auf der Kreuzung befinden, Vorfahrt zu geben?",,,,T,KW_D22_418_org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W7,pjm771.wmv,,,,,,,
773,"Zamierzasz jechać na wprost, a motocyklista chce skręcić w lewo. Czy masz obowiązek ustąpić mu pierwszeństwa?",,,,You are intend to go straight on and the motorcyclist intends to turn left. Do you have to yield the right of way to him?,,,,"Sie planen, geradeaus zu fahren und der Kraftradführer hat es vor, links abzubiegen. Haben Sie die Pflicht, ihm die Vorfahrt zu geben?",,,,T,KW_D22_419_org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W7,pjm773.wmv,,,,,,,
774,"Zamierzasz jechać na wprost, a kierujący pojazdem, jadącym z naprzeciwka, chce skręcić w lewo. Czy masz przed nim pierwszeństwo?",,,,You intend to go straight on and the driver of the oncoming vehicle intends to turn left. Do you have the right of way over him?,,,,"Sie planen, geradeaus zu fahren und das entgegenkommende Fahrzeug hat es vor, links abzubiegen. Haben Sie die Vorfahrt vor ihm?",,,,N,KW_D22_419_org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W7,pjm774.wmv,,,,,,,
788,Zostałeś właśnie wyprzedzony przez pojazd widoczny przed Tobą. Czy bezpośrednio po wyprzedzeniu wolno Ci zwiększyć prędkość?,,,,You have just been overtaken by the vehicle in front of you. Are you allowed to increase your speed immediately after being overtaken?,,,,"Sie  wurden bereits durch das vorausfahrende Fahrzeug überholt.  Dürfen Sie direkt, nachdem Sie überholt wurden, die Geschwindigkeit erhöhen?",,,,N,D26_026org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W12,pjm788.wmv,,,,,,,
799,"Czy w tej sytuacji, wykonując manewr omijania, masz obowiązek zatrzymać się w razie potrzeby?",,,,Are you obliged to stop when the need be while passing the stationary obstacle?,,,,Soll man in dieser Situation beim Umfahren je nach Bedarf anhalten?,,,,T,D24_AK110org.wmv,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W13,pjm799.wmv,,,,,,,
809,"Czy w tej sytuacji, podczas omijania, masz obowiązek zachować szczególną ostrożność?",,,,Do you have to exercise particular caution when passing a stationary object in this situation?,,,,Soll man in dieser Situation beim Umfahren besonders vorsichtig sein?,,,,T,D24_AK120org.wmv,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W13,pjm809.wmv,,,,,,,
869,Czy widoczna linia wskazuje miejsce obowiązkowego zatrzymania się przed wjazdem na skrzyżowanie?,,,,Does this line indicate the place you must stop before entering the intersection?,,,,"Zeigt diese Linie diese Stelle an, an der obligatorisch vor dem Einfahren in die Kreuzung anzuhalten ist?",,,,T,D16_01_org.wmv,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,,,,,,,,
870,"Czy widoczna linia wskazuje miejsce zatrzymania, które zapewnia Ci najlepszą widoczność na skrzyżowaniu?",,,,Does this line indicate the stop spot that ensures the best visibility at the intersection?,,,,"Zeigt die dargestellte Linie diese Anhaltstelle an, woher man die besten Sichtverhältnisse in der Kreuzung hat?",,,,T,D16_01_org.wmv,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,,,,,,,,
872,"Czy masz obowiązek zatrzymać się w wyznaczonym linią miejscu, nawet wtedy, gdy upewniłeś się, że drogą z pierwszeństwem przejazdu nie poruszają się inne pojazdy?",,,,Are you obliged to stop in the indicated place even when you have made sure that there are no other vehicles driving on the main road?,,,,"Hat man die Pflicht an der markierten Stelle sogar dann anzuhalten, wenn man sich vergewissert hast, dass sich auf der Vorfahrtsstraße keine anderen Fahrzeuge bewegen?",,,,T,D16_01_org.wmv,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,,,,,,,,
874,Czy w miejscu wyznaczonym przez widoczną linię przystankową wolno zatrzymywać się pojazdom przewożącym dzieci do szkół i przedszkoli?,,,,"Are vehicles, which carry children to schools and pre-schools allowed to stop in the place marked by this bus stop line?",,,,"Dürfen an der Stelle, die mit der sichtbaren Haltestellelinie abgesteckt ist, Fahrzeuge anhalten, die Kinder in die Schulen und Kindergärten befördern?",,,,T,"W4(23,54,80)org.wmv",PODSTAWOWY,1,"D,D1",W4,,,,,,,,
884,Czy w tej sytuacji wolno Ci wjechać na pas ruchu przy prawej krawędzi jezdni?,,,,Are you allowed in this situation to drive onto the lane by the right edge of the road?,,,,"Darf man in der dargestellten Situation auf die Fahrspur einfahren, die sich am rechten Straßenrand befindet?",,,,T,MM_D14_09_org.wmv,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W4,,,,,,,,
891,Czy w przedstawionej sytuacji jesteś ostrzegany o zbliżaniu się do jednego niebezpiecznego zakrętu w prawo?,,,,Are you warned in this situation of a single dangerous bend to the right?,,,,Wirst du in der dargestellten Situation vor einer gefährlichen Einzelkurve rechts gewarnt?,,,,T,IMG_0345d8org.jpg,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W1,,,,,,,,
892,Czy w przedstawionej sytuacji jesteś ostrzegany o kilku niebezpiecznych zakrętach w lewo?,,,,Are you warned in this situation of a few dangerous bends to the left?,,,,Wirst du in der dargestellten Situation vor mehreren Linkskurven gewarnt?,,,,N,1814D15org.jpg,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W1,pjm892.wmv,,,,,,,
893,Czy w przedstawionej sytuacji jesteś ostrzegany o dwóch niebezpiecznych zakrętach?,,,,Are you warned in this situation of two dangerous bends?,,,,Wirst du in der dargestellten Situation vor zwei gefährlichen Kurven gewarnt?,,,,N,A-3 zT-4org.jpg,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W1,pjm893.wmv,,,,,,,
894,"Czy w przedstawionej sytuacji jesteś ostrzegany o dwóch niebezpiecznych zakrętach, z których pierwszy jest w lewo?",,,,"Are you warned in this situation of two dangerous bends, the first to the left?",,,,"Wirst du in der dargestellten Situation vor zwei gefährlichen Kurven, von denen die erste eine Linkskurve ist, gewarnt?",,,,T,A-4 (5)org.jpg,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W1,pjm894.wmv,,,,,,,
898,"Czy w tej sytuacji jesteś ostrzegany o zbliżaniu się do skrzyżowania, na którym pierwszeństwo przejazdu nie jest określone przy pomocy znaków drogowych?",,,,Are you warned in this situation of an intersection where there are no right of way signs?,,,,"Wirst du in der dargestellten Situation vor einer Kreuzung gewarnt, auf der die Vorfahrtskennzeichnung ausbleibt?",,,,T,A-5 (3)org.jpg,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W1,pjm898.wmv,,,,,,,
901,Czy w przedstawionej sytuacji jesteś ostrzegany o zbliżaniu się do skrzyżowania z drogą podporządkowaną?,,,,Are you warned in this situation of approaching an intersection with a minor road?,,,,"Wirst du in der dargestellten Situation davor gewarnt, dass du an eine Kreuzung mit einer untergeordneten Straße kommst?",,,,T,IMG_1181d8org.jpg,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W1,pjm901.wmv,,,,,,,
904, Czy w tej sytuacji należy rozpocząć hamowanie?,,,,Should you begin braking your vehicle in this situation?,,,,Soll man in der dargestellten Situation mit dem Ausbremsen des Fahrzeuges anfangen?,,,,T,D24_20org.wmv,PODSTAWOWY,2,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W15,pjm904.wmv,,,,,,,
916,"Czy w trakcie prowadzenia pojazdu, wraz z upływem czasu, poprawia się Twoja zdolność dostrzegania znaków i sygnałów drogowych?",,,,"When driving a vehicle, does your ability to perceive road signs and signals improve with time?",,,,"Verbessert sich beim Fahrzeuglenken mit dem Ablauf der Zeit Ihre Fähigkeit, Verkehrszeichen- und Signale wahrzunehmen?",,,,N,IMG_9599org.jpg,PODSTAWOWY,2,B,W20,pjm916.wmv,,,,,,,
918,Kierujesz pojazdem z prędkością 30 km/h. Czy w tej sytuacji powinieneś zatrzymać pojazd przed sygnalizatorem?,,,,You are driving a vehicle at the speed of 30 km/h. Should you stop the vehicle before the traffic lights in this situation?,,,,Sie fahren das Fahrzeug mit der Geschwindigkeit von 30 km/h. Sollen Sie das Fahrzeug in dieser Situation vor der Verkehrampel anhalten?,,,,T,AK_D18_07org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W8,pjm918.wmv,,,,,,,
919,"Czy gdy prowadzisz w stanie pobudzenia emocjonalnego, to maleje Twoja zdolność koncentracji uwagi?",,,,"When driving in a state of emotional arousal, does your ability to concentrate decrease?",,,,"Wenn Sie das Fahrzeug im gereizten Zustand lenken, verringert sich Ihre Konzentrationsfähigkeit?",,,,T,GND30__4_org.wmv,PODSTAWOWY,2,B,W20,pjm919.wmv,,,,,,,
941,Zamierzasz skręcić w lewo. Czy masz obowiązek ustąpić pierwszeństwa pojazdowi nadjeżdżającemu z prawej strony?,,,,You intend to turn left. Do you have to yield the right of way to the vehicle approaching from the right?,,,,Sie möchten links abbiegen. Sollen Sie dem von rechts kommenden Fahrzeug die Vorfahrt geben?,,,,N,513_D27KW_org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W7,pjm941.wmv,,,,,,,
